;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
carlism_desc;Carlism is a traditionalist and legitimist political movement in Spain seeking the establishment of a separate line of the Bourbon family on the Spanish throne. This line descended from Infante Carlos, Count of Molina, and was founded due to dispute over the succession laws and widespread dissatisfaction with the Alfonsine line of the House of Bourbon.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
spirit_of_freedom;The Spirit of Freedom;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
spirit_of_freedom_desc;For some cultures, the notion of democracy and individual freedom is rooted in their very psyche.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
first_railroads;First Railroads;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
first_railroads_desc;The first railroads using steam engines were built after 1825, and propelled the industrial revolution into high gear.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
industrial_railroads;Industrial Railroads;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
industrial_railroads_desc;These heavy-duty railways were built primarily for the transportation of industrial goods into urban centers.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_iron_horse;The Iron Horse;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_iron_horse_desc;The term 'Iron Horse' was used admiringly when comparing early road and railroad traction engines performance to slower, less powerful horse powered tramways. The Iron Horse term became widely popularized and found frequent use in the century and a half following the competition won by George Stephenson's Rocket in innumerable newsprint articles as well as in various novels.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
commercial_railroads;Commercial Railroads;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
commercial_railroads_desc;Advances in railway technology, such as the Pullman Sleeping Car, allowed for railroads to take on a large share of passenger transport.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
arteries_of_commerce;Arteries of Commerce;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
arteries_of_commerce_desc;The criss-cross pattern of railways became such that the economy of an entire nation depended upon them. In time, all industrial and commercial traffic moved on railways. Fortunes were built and lost on the construction of these arteries of commerce alone.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
autobahn;Autobahn;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
autobahn_desc;Transportation, whether it be by rail or by road, has become an integral part of the nation's economy. Goods and passengers are moving with an unheard-of spead, whereas not so long ago the idea of traveling even a moderate distance away from one's home province was a major undertaking now it is a minor inconvenience.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
luxury_focus;Focus on Luxury Goods;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
luxury_focus_desc;Our nation's industry has become slowly turned towards the production of luxury goods such as boots, wine, cigars and luxury clothing and furniture.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
necessity_focus;Focus on Necessities;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
necessity_focus_desc;Our nation's industry has become slowly more focused on the production of basic necessities such as regular furniture, clothing, paper, liquor and lumber.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
high_tech_focus;Focus on High-Tech Goods;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
high_tech_focus_desc;Our nation's industry has slowly become more focused on high-tech goods such as automobiles, telephones, radios and electronic equipment.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
tuberculosis;Tubercolosis Outbreak;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tuberculosis_desc;Consumption has swept across the province, spreading the wasting sickness in its wake.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
typhoid;Typhoid Outbreak;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
typhoid_desc;Typhoid is caused by the contamination of drinking water, and an outbreak of the sickness is currently ravaging the province.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
smallpox;Smallpox Outbreak;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
smallpox_desc;Smallpox is currently ravaging the people in this province.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cholera;Cholera Outbreak;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cholera_desc;Cholera is caused by the contamination of food or drinking water, and an outbreak of the sickness is currently ravaging the province.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
economic_trend;Economic Trend;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
economic_trend_desc;Our nation's economy is currently in flux.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
famine;Famine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
famine_desc;There is mass starvation among the populace in this province.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ravaged_by_disease;Ravaged by Disease;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ravaged_by_disease_desc;The province is currently being ravaged by a disease. All efforts are being made to treat those afflicted and prevent the contagion from spreading elsewhere.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
wool_cloth_factories;Wool Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
wool_cloth_factories_desc;No longer is wool spun in the homes of promising artisans. Now we have the ability to set up factories where textiles can be created at ten times the rate!;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
luxury_clothes_factories;Luxury Clothing Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
luxury_clothes_factories_desc;The production of finery has moved from the work of individual artisans to factories where such clothing can be produced en masse.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
industrial_bakeries;Industrial Bakeries;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
industrial_bakeries_desc;The preparation of food no longer need be done in small, household-based bakeries. Now bakeries can be built which utilize the latest in equipment and technology.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
shoe_factories;Shoe Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
shoe_factories_desc;Production of footwear has moved from the lowly cobbler to factories utilizing the latest in equipment and technology.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
boot_factories;Boot Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
boot_factories_desc;Production of footwear has moved from the lowly cobbler to factories utilizing the latest in equipment and technology.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cement_factories;Cement Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cement_factories_desc;Cement is one of the primary ingredients in construction of any kind. No longer is it limited to small shops run by cement mixers, instead being a good that may be produced in larger quantities within factories.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
stock_exchanges;Stock Exchanges;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
stock_exchanges_desc;The issuing of stocks as proof of ownership in companies has led to an entire industry based on the speculation of these companies' worth.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
merchant_banking;Merchant Banking;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
merchant_banking_desc;Banking has grown to be a large business, one that has spawned an entire industry based on financial services for both our own people as well as those abroad.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
sugar_refineries;Sugar Refineries;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
sugar_refineries_desc;The refining of raw sugar has become a large industry, and we now possess the means to build refineries that can produce it.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
lumber_mills;Lumber Mills;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
lumber_mills_desc;Small lumbering operations have grown into an industry capable of building giant mills, all to feed our growing need for construction material.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
tropical_lumber_mills;Tropical Lumber Mills;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tropical_lumber_mills_desc;With the advent of improved mechanical saws, the ability to turn hard-to-harvest tropical wood into proper lumber has become available.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
rubber_boot_factories;Rubber Boot Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rubber_boot_factories_desc;You wouldn't think there'd be a demand for rubber boots, such that it would need to be produced on a massive scale. Yet here we are.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
fashion_houses;Houses of Fashion;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
fashion_houses_desc;It's evidently not enough that clothing simply be clothing. Now there is a new industry based on style, making clothing to suit every taste from the simple to the extravagant.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
beef_canneries;Industrial Slaughterhouses;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
beef_canneries_desc;Industrial slaughterhouses able to handle much larger amounts of livestock than the simple ranch can now be built.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cigarette_making_machines;Cigarette Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cigarette_making_machines_desc;No longer is it necessary for cigarettes to be hand-produced. Now we possess the ability to build machines able to do it far more rapidly, and at a much greater profit.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
cigar_factories;Cigar Factories;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cigar_factories_desc;No longer is it necessary for cigars to be hand-rolled. Now we possess the ability to build machines able to do it far more rapidly, and at a much greater profit.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
modernist_furnishing;Modernist Furnishing;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
modernist_furnishing_desc;We now possess the ability to build factories that can create the most complex and modern furniture possible, feeding the demand for such luxuries among the wealthy.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
textile_mills;Textile Mills;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
textile_mills_desc;The production of factories able to produce large amounts of cotton-based fabric is the key to meeting the huge demand.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mass_produced_clothing;Mass-Produced Clothing;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mass_produced_clothing_desc;Advancement in techniques for creating clothing have increased our capacity for its production. No longer is it limited to the shops of the simple tailor.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
steelworks;Steelworks;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
steelworks_desc;A refinery capable of mass-producing quality steel is one of the most expensive and important abilities for a nation seeking to truly industrialize.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
fertilizer_plants;Fertilizer Plants;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
fertilizer_plants_desc;We now possess the ability to create a chemical refinery capable of producing vast amounts of fertilizer.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
clipper_shipyards;Clipper Shipyards;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
clipper_shipyards_desc;The construction of shipyards capable of producing clipper ships is now within the realm of possibility.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
steamer_shipyards;Steamer Shipyards;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
steamer_shipyards_desc;The construction of shipyards capable of producing steamships is now within the realm of possibility.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
newspapers;Newspapers;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
newspapers_desc;Literacy in our country has advanced to the point where news in written form is in high demand. The creation of companies able to meet that demand is rapidly becoming necessary.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
moveable_type;Moveable Type;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
moveable_type_desc;Advances in printing press technology have allowed us to develop rotary presses and other processes, all designed to make the rapid production of printed material possible.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
penny_press;Penny Press;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
penny_press_desc;Advances in newsprint technology have spawned the creation of the 'penny press': cheap newspapers produced in large quantities, with the sole purpose of reaching as wide an audience as possible.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
sunday_schools;Sunday Schools;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
sunday_schools_desc;The involvement of religious institutions in education, in particular the weekly 'Sunday School' employed by some churches to educate children on religious matters, has increased the country's early education efficiency.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
infant_schools;Infant Schools;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
infant_schools_desc;The advent of pre-schooling, or the education of very young children in their own institutions, has increased the country's early education efficiency.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
state_education;State Education;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
state_education_desc;A number of state-run educational facilities have appeared, increasing not only our ability to educate the people but also increasing the number of loyal citizens in the next generation.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
curriculum;Curriculum;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
curriculum_desc;Prior to now, schools across the country had wildly different standards for what was taught. They tended to focus more on topics of local importance, and where one came from determined not only their education level but also their breadth of knowledge. The introduction of a standard curriculum across all national schools has helped bring everyone up to the same level.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
grammar_schools;Grammar Schools;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
grammar_schools_desc;Early schools developed from those dedicated to teaching Latin, and slowly advanced into the teaching of Ancient Greek, English, and other subjects such as mathematics and geometry.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
high_schools;High Schools;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
high_schools_desc;A high school is an institution dedicated to providing secondary education to the public (and in many of these countries, 'secondary school' is synonymous).;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
scholarships;Scholarships;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
scholarships_desc;The appearance of scholarships indicated the first attempt at offering higher education to students based on academic excellence, and not excluding them solely on the basis of finances. This allowed the attendance of colleges and universities to move from an elite part of the population towards being truly universal.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
tulls_seed_drill;Tull's Seed Drill;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tulls_seed_drill_desc;Up until this era, farmers planted the seeds for cereal crops by carrying the seeds in a bag and walking up and down the field throwing or broadcasting the seed. They broadcast the seed by hand on to the ploughed and harrowed ground. The problem with this method was that it did not give a very even distribution. It was not, therefore, an efficient use of the seed and much of it was wasted. Jethro Tull invented a Seed Drill which could be pulled behind a horse. It consisted of a wheeled vehicle containing a box filled with grain. There was a wheel-driven ratchet that sprayed the seed out evenly as the Seed Drill was pulled across the field.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
rotherham_plough;Rotherham Plough;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rotherham_plough_desc;The Rotherham or Yorkshire Plough invented by Disney Stanyforth and Joseph Foljambe was an improvement on the traditional plough. It was constructed of wood like the standard plough but the fittings and coulter (cutting blade) were made of iron and the mouldboard and ploughshare were covered in iron plates. It was lighter than the traditional plough and could be easily worked with a pair of horses.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
diode;Diodes;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
diode_desc;In electronics, a diode is a two-terminal electronic component with asymmetric transfer characteristic, with low (ideally zero) resistance to current flow in one direction, and high (ideally infinite) resistance in the other. Diodes were the first semiconductor electronic devices.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
triode;Triodes;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
triode_desc;A triode is an electronic amplification device having three active electrodes. The term most commonly applies to a vacuum tube (or valve in British English) with three elements: the filament or cathode, the grid, and the plate or anode. The triode vacuum tube was the first electronic amplification device, which propelled the electronics age forward,  by enabling amplified radio technology and long-distance telephony.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
tetrode;Tetrodes;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tetrode_desc;A tetrode is an electronic device having four active electrodes. The term most commonly applies to a two-grid vacuum tube. It has the three electrodes of a triode and an additional screen grid which significantly changes its behaviour.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
crystal_radio;Crystal Radio;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
crystal_radio_desc;A crystal radio receiver, also called a crystal set or cat's whisker receiver, is a very simple radio receiver, popular in the early days of radio. It needs no battery or power source and runs on the power received from radio waves by a long wire antenna. It gets its name from its most important component, known as a crystal detector, originally made with a piece of crystalline mineral such as galena.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
valve_radio_sets;Valve Radio Sets;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
valve_radio_sets_desc;With the discovery that triode valves could amplify signals it was soon noticed that they would also oscillate, a fact that was exploited in generating signals. Once the triode was established as an amplifier it made a tremendous difference to radio receiver performance as it allowed the incoming signals to be amplified. This gave significant improvements in the levels of gain that could be achieved, greatly increasing selectivity, enabling this type of receiver to outperform all other types of the era.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
carbon_transmitter;Carbon Transmitter;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
carbon_transmitter_desc;"Before the proliferation of vacuum tube amplifiers in the 1920s, carbon transmitters were the only practical means of obtaining high-level audio signals, and were widely used in telephone systems. Their low cost,"" inherently high output and """"peaked"""" frequency response characteristic were well suited for this application"", and their use in new telephone installations continued up to the 1980s, long after they had been replaced by other types of microphones in other applications.";;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
candlestick_telephone;Candlestick Telephone;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
candlestick_telephone_desc;The candlestick telephone is a style of telephone that was common from the late 1890s to the 1930s. Also known as a desk stand, upright, or a stick phone, it came with or without a rotary dial, and with a ringer box.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
the_white_mans_burden;The White Man's Burden;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_white_mans_burden_desc;'The White Man's Burden' was a poem by the English poet Rudyard Kipling, published in 1899. At face value it appeared to be a rhetorical command to white men to colonise and rule other nations for the benefit of those people (both the people and the duty may be seen as representing the 'burden' of the title), even though it mixed its  exhortation to empire with somber warnings of the costs involved in imperialism. Imperialists came to understand the phrase 'white man's burden' as a characterization for imperialism that justified the policy as a noble enterprise.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
indigenous_garrisoning;Indigenous Garrisoning;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
indigenous_garrisoning_desc;The advent of advanced weaponry, firepower far greater than that possessed by most uncivilized peoples, has made it possible for small but well-armed garrisons to maintain order in colonial holdings-- even with native populations in excess of a thousand-to-one.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
well_drilled;Excellent Military Leadership;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
well_drilled_desc;Our military organization is the envy of the world, thanks to our huge reserve of trained officers.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
drilled;Good Military Leadership;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
drilled_desc;Our nation has a large cadre of trained officers, giving our military an advantage.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
poorly_drilled;Poor Military Leadership;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
poorly_drilled_desc;With a shortage of trained officers, our military organization has suffered.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
undisciplined_mob;Undisciplined Mob;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
undisciplined_mob_desc;With an almost complete lack of trained officers, our military has become an undisciplined and unruly mob.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
family_values;Family Values;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
family_values_desc;New psychological theory has further reinforced the importance of a stable family unit.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
coal_power;Coal Power;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
coal_power_desc;Coal-powered turbines, the very driving force behind the industrialization of the western world.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
genetics_hereditary;Hereditary Genetics;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
genetics_hereditary_desc;Understanding of genetics and the role it plays in biological traits has improved our medicine.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bakery_power;Bakeries and Mills;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bakery_power_desc;With natural power being harnessed to help process food, our people are taking the first small steps towards a culture of commercial consumption.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
combine_harvesters;Powered Combine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
armoured_fist_doctrine;Armoured Fist Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
armoured_fist_doctrine_desc;Who needs to move a tank quickly when it can destroy anything it sees?;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
home_rifle_smiths;Home Rifle Smiths;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
home_rifle_smiths_desc;By using our limited battle experience we can set up small scale weapons manufacturies.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
small_scale_riflemaking;Small Scale Riflemaking;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
small_scale_riflemaking_desc;Expanding on our experience in matters of war we can improve output in making arms.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rifle_war_experience;Rifle War Experience;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rifle_war_experience_desc;Using our substantial experience in warfare allows us to produce weapons more efficiently than less warlike nations.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_riflemaking;Advanced Riflemaking;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_riflemaking_desc;We have perfected small arms manufacturing to an artform.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
improved_artillery_manufacturing;Improved Artillery Manufacturing;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
improved_artillery_manufacturing_desc;As artillery improved, so did its manufacture.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
practical_artillery_experience;Practical Artillery Experience;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
practical_artillery_experience_desc;You see, the end of the barrel goes towards them,not us!;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
advanced_target_practice;Advanced Target Practice;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_target_practice_desc;Fore!;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heavy_artillery_making;Heavy Artillery Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heavy_artillery_making_desc;Bigger. Better. More Production.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
basic_ship_building_R&D;Basic Ship Building R&D;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
basic_ship_building_R&D_desc;early production techniques were aided by increasing ship research.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
school_of_manuever;School of Maneuver;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
school_of_manuever_desc;The advent of Tank warfare led to a new school of thought-that impressive speed and superior positioning would win the day in military clashes;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
school_of_firepower;School of Firepower;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
school_of_firepower_desc;The awe-inspiring destructive capability of modern weaponry gave new credence to the School of Firepower.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
improved_ship_building_R&D;Improved Ship Building R&D;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
improved_ship_building_R&D_desc;With advanced warships came advanced supply output.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
late_colonial_ships;Late Colonial Ships;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
late_colonial_ships_desc;Ships with ever increasing naval ranges meant new methods of supply manufacture had to be devised.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
early_modern_oil_ship;Early Modern Oil Ship;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
early_modern_oil_ship_desc;New advances in mobile refueling soon gave way to new advances in naval supply production.;;;;;;;;;;;;x, too!;;;;;;;;;;;;x,,,,,,;;;;
ship_artillery_making;Ship Artillery Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ship_artillery_making_desc;The massive cannons required on warships ultimately led to more improvements in artillery production overall.;;;;;;;;;;;;x, resulting in more stable and fruitful marital unions.;;;;;;;;;;;;x,,,,,,;;;;
ship_cannon_building;Ship Cannon Building;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ship_cannon_building_desc;As naval weaponry became larger and larger, so did its means of production.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
late_colonial_armaments_industry;Late Colonial Armaments Industry;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
late_colonial_armaments_industry_desc;Colonial ventures required arms production, but standard procedures often fell short. Thus, new methods were devised.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
modern_armaments_industry;Modern Armaments Industry;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
modern_armaments_industry_desc;The modern armaments industry saw impressive gains in arms production.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
private_coin_issuance;Private Coin Issuance;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
private_coin_issuance_desc;Small scale coin minting is giving more uses for our gold and precious metal.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
private_mints;Private Mints;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
private_mints_desc;Banks are starting to issue their own coins made of gold and silver.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
gold_backed_notes;Gold Backed Notes;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
gold_backed_notes_desc;Why carry heavy gold coins around if you can use a paper note backed by gold in a vault? It also allows us to further leverage our reserves.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
inflationary_measures;Inflationary Measures;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
inflationary_measures_desc;Inflation is becoming more and more common as our money supply is growing.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
