#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
two_point_five_children;Birth Rate: Above Average;;;;;;;;;;;;;
two_point_five_children_desc;Our nation's birth rate is above average-- we should see healthy population growth.;;;;;;;;;;;;;
three_children;Birth Rate: High;;;;;;;;;;;;;
three_children_desc;Our nation's birth rate is high-- the population is expanding rapidly.;;;;;;;;;;;;;
four_children;Birth Rate: Explosive;;;;;;;;;;;;;
four_children_desc;Our nation's birth rate is very high-- the exploding population may enrich us or strain our public services.;;;;;;;;;;;;;
apache_raiders;Apache Raiders;;;;;;;;;;;;;
recent_crisis;Recent Crisis;;;;;;;;;;;;;
recent_crisis_desc;We have been the instigators in a recent crisis. Until memories fade, the world will likely tend to overlook any further demands we make for our territories.;;;;;;;;;;;;;
CLM_fight; War of Independence;;;;;;;;;;;;;
CLM_fight_desc;Despite our differences we are united against the Spanish oppressor!;;;;;;;;;;;;;
sons_of_harold;The Sons of Harold;;;;;;;;;;;;;
sons_of_harold_desc;Firebrands are arguing the cause of English nationalism;;;;;;;;;;;;;
sons_of_louis;The Sons of St-Louis;;;;;;;;;;;;;
sons_of_louis_desc;Firebrands are arguing the cause of French nationalism;;;;;;;;;;;;;
assimilate_tributaries_modif; Zhourao Integration;;;;;;;;;;;;;
assimilate_tributaries_modif_desc; We are pursuing a policy of integration in this province;;;;;;;;;;;;;
anglois_dilemma;The Anglois Dilemma.;;;;;;;;;;;;;
anglois_dilemma_desc;Our policies of integration are provoking troubles across the country.;;;;;;;;;;;;;
anglois_cultural_unity;Anglois Cultural Unity;;;;;;;;;;;;;
anglois_cultural_unity_desc;New schooling policies are slowly assimilating patois-speaking Anglois.;;;;;;;;;;;;;
revolution_aftermath;Aftermath of the Revolution;;;;;;;;;;;;;
revolution_aftermath_desc;The Reoccupation of the country is harsh and many cities lie in ruins after the fightings;;;;;;;;;;;;;
beornia_english;Beornian haven;;;;;;;;;;;;;
beornia_english_desc;Following the Glorious Revolution the Beornian lands have seen an influx of English immigrants;;;;;;;;;;;;;
etrurian_agitation;Etrurian agents;;;;;;;;;;;;;
etrurian_agitation_desc;Etrurian agents are propagating their ideas in our state;;;;;;;;;;;;;
italian_emigration;Minorities Emigrating;;;;;;;;;;;;;
integration_sicily;Integrating Sicily;;;;;;;;;;;;;
integration_sicily_desc;We are currently integrating the Sicilians.;;;;;;;;;;;;;
integration_arborea;Integrating Arborea;;;;;;;;;;;;;
integration_arborea_desc;We are currently integrating the Arboreans;;;;;;;;;;;;;
integration_venice;Integrating Venice;;;;;;;;;;;;;
integration_venice_desc;We are currently integrating the Venetians.;;;;;;;;;;;;;
stroganov_romanov;Roman Stroganov-Romanov;;;;;;;;;;;;;
stroganov_romanov_desc;Roman Stroganov-Romanov, nicknamed the Steppe Baron ought to transform the Steppes to avoid that they end up destroyed by the Western World. He is ruthless but admired by the common folk;;;;;;;;;;;;;
dahomey_amazons;The Dahomey Amazons;;;;;;;;;;;;;
dahomey_amazons_desc;The Dahomey Amazons are now an official, female corp that fights in the army.;;;;;;;;;;;;;
recent_raid;Recently Raided;;;;;;;;;;;;;
recent_raid_desc;This provinces has recently been raided. Homes have been burnt, food is scarce and people are worried for the future.;;;;;;;;;;;;;
dhy_schools;The Dahomey Schools;;;;;;;;;;;;;
dhy_schools_desc;To combat the illiteracy in our country we've seriously invested in improving the national schools into some of Africa's best.;;;;;;;;;;;;;
dhy_universities;The Dahomey Universities;;;;;;;;;;;;;
dhy_universities_desc;We've founded several large universities in our cities to create some of the Africa's brightest men.;;;;;;;;;;;;;
developing_homeland;Developing Homeland;;;;;;;;;;;;;
developing_homeland_desc;This province is a part of our homeland and is currently being developed into the pride of our nation.;;;;;;;;;;;;;
maya_excavations;Maya Excavations;;;;;;;;;;;;;
maya_excavations_desc;The secrets of the Maya await us!;;;;;;;;;;;;;
mesopotamian_excavations;Mesopotamian Excavations;;;;;;;;;;;;;
mesopotamian_excavations_desc;The secrets of ancient Mesopotamia await us!;;;;;;;;;;;;;
mycenaean_excavations;Mycenaean Excavations;;;;;;;;;;;;;
mycenaean_excavations_desc;The secrets of ancient Greece await us!;;;;;;;;;;;;;
minoan_excavations;Minoan Excavations;;;;;;;;;;;;;
minoan_excavations_desc;The secrets of the ancient Minoans await us!;;;;;;;;;;;;;
pompeji_excavations;Pompeii Excavations;;;;;;;;;;;;;
pompeji_excavations_desc;The secrets of Pompeii await us!;;;;;;;;;;;;;
gateway_to_russia;Gateway To Russia;;;;;;;;;;;;;
janissary_rule;Janissary Rule;;;;;;;;;;;;;
janissary_rule_desc;The Janissaries have seized power over the state and installed a brutal dictatorship.;;;;;;;;;;;;;
janissary_system;Janissary System;;;;;;;;;;;;;
university_athens;The University of Athens;;;;;;;;;;;;;
university_athens_desc;The first modern and the more reknowned institution of knowledge in Hellas.;;;;;;;;;;;;;
thrace_boom;Enosis;;;;;;;;;;;;;
thrace_boom_desc;The fulfillment of the Megali Idea has led to the installation of many settlers from the rest of Greece in areas 'left' by the Turkish inhabitants.;;;;;;;;;;;;;
enosis_modifier;Enosis Achieved;;;;;;;;;;;;;
enosis_modifier_desc;Enosis is completed and the people living in our country are now being assimilated.;;;;;;;;;;;;;
#goods.txt;;;;;;;;;;;;;;
military_goods;Military Goods;Biens militaires;Militärgüter;;;;;;;;;;;
ammunition;Ammunition;Munitions;Munition;;;;;;;;;;;
small_arms;Small Arms;Petites armes;Handfeuerwaffen;;;;;;;;;;;
artillery;Artillery;Artillerie;Artillerie;;;;;;;;;;;
canned_food;Canned Food;Nourriture en boîte;Konserven;;;;;;;;;;;
barrels;Barrels;Fûts;Geschützrohre;;;;;;;;;;;
aeroplanes;Aeroplanes;Avions;Flugzeuge;;;;;;;;;;;
gunpowder;Gunpowder;;;;;;;;;;;;;
raw_material_goods;Raw Material Goods;Matières premières;Rohmaterialen;;;;;;;;;;;
cotton;Cotton;Coton;Baumwolle;;;;;;;;;;;
cotton_RGO_SIZE;Cotton plantation size;Taille de la plantation de coton;Baumwollplantage-Größe;;;;;;;;;;;
dye;Dye;Colorant;Farbstoffe;;;;;;;;;;;
dye_RGO_SIZE;Dye plantation size;Taille de la plantation de plantes tinctoriales;Farbstoffplantage-Größe;;;;;;;;;;;
wool;Wool;Laine;Wolle;;;;;;;;;;;
wool_RGO_SIZE;Sheep ranch size;Taille de l'élevage de moutons;Schafsranch-Größe;;;;;;;;;;;
silk;Silk;Soie;Seide;;;;;;;;;;;
silk_RGO_SIZE;Silkworm ranch size;Taille de l'élevage de vers à soie;Seidenraupenfarm-Größe;;;;;;;;;;;
coal;Coal;Charbon;Kohle;;;;;;;;;;;
coal_RGO_SIZE;Coal mine size;Taille de la mine de charbon ;Kohlengrube-Größe;;;;;;;;;;;
sulphur;Sulphur;Soufre;Schwefel;;;;;;;;;;;
sulphur_RGO_SIZE;Sulphur mine size;Taille de la mine de soufre;Schwefelmine-Größe;;;;;;;;;;;
iron;Iron;Fer;Eisen;;;;;;;;;;;
iron_RGO_SIZE;Iron mine size;Taille de la mine de fer;Eisenerzmine-Größe;;;;;;;;;;;
timber;Timber;Bois;Holz;;;;;;;;;;;
timber_RGO_SIZE;Timber lodge size;Taille de l'exploitation forestière;Holzfällerlager-Größe;;;;;;;;;;;
tropical_wood;Tropical Wood;Bois exotique;Tropenholz;;;;;;;;;;;
tropical_wood_RGO_SIZE;Tropical wood lodge size;Taille de l'exploitation de bois exotique;Tropenholzfällerlager-Größe;;;;;;;;;;;
rubber;Rubber;Caoutchouc;Gummi;;;;;;;;;;;
rubber_RGO_SIZE;Rubber lodge size;Taille de l'exploitation de caoutchouc;Gummiplantage-Größe;;;;;;;;;;;
oil;Oil;Pétrole;Öl;;;;;;;;;;;
oil_RGO_SIZE;Oil rig size;Taille du puits de pétrole;Ölbohrplattform-Größe;;;;;;;;;;;
precious_metal;Precious Metal;Métal précieux;Edelmetall;;;;;;;;;;;
precious_metal_RGO_SIZE;Precious metal mine size;Taille de la mine de métaux précieux;Edelmetallmine-Größe;;;;;;;;;;;
copper;Copper;;;;;;;;;;;;;
copper_RGO_SIZE;Copper Mine Size;;;;;;;;;;;;;
lead;Lead;;;;;;;;;;;;;
industrial_goods;Industrial Goods;Biens industriels;Industriegüter;;;;;;;;;;;
steel;Steel;Acier;Stahl;;;;;;;;;;;
cement;Cement;Ciment;Beton;;;;;;;;;;;
machine_parts;Machine Parts;Pièces détachées;Maschinenteile;;;;;;;;;;;
glass;Glass;Verre;Glas;;;;;;;;;;;
fuel;Fuel;Carburant;Treibstoff;;;;;;;;;;;
fertilizer;Fertilizer;Engrais;Dünger;;;;;;;;;;;
explosives;Explosives;Explosifs;Sprengstoffe;;;;;;;;;;;
clipper_convoy;Clipper Convoy;Convoi de clippers;Klipper-Konvoi;;;;;;;;;;;
steamer_convoy;Steamer Convoy;Convoi de steamers;Dampfer-Konvoi;;;;;;;;;;;
electric_gear;Electric Gear;Appareil électrique;Elektroteile;;;;;;;;;;;
fabric;Fabric;Tissu;Stoffe;;;;;;;;;;;
lumber;Lumber;Bois;Schnittholz;;;;;;;;;;;
bronze;Bronze;;;;;;;;;;;;;
consumer_goods;Consumer Goods;Biens de consommation;Gebrauchsgüter;;;;;;;;;;;
paper;Paper;Papier;Papier;;;;;;;;;;;
cattle;Cattle;Bétail;Vieh;;;;;;;;;;;
cattle_RGO_SIZE;Cattle ranch size;Taille de l'élevage de bétail;Viehranchgröße;;;;;;;;;;;
fish;Fish;Poisson;Fische;;;;;;;;;;;
fish_RGO_SIZE;Fishing wharf size;Taille du quai de pêche;Fischereihafen-Größe;;;;;;;;;;;
fruit;Fruit;Fruit;Früchte;;;;;;;;;;;
fruit_RGO_SIZE;Orchard size;Taille du verger;Obstgarten-Größe;;;;;;;;;;;
grain;Grain;Céréales;Getreide;;;;;;;;;;;
grain_RGO_SIZE;Grain farm size;Taille de la ferme céréalière;Getreidefarm-Größe;;;;;;;;;;;
tobacco;Tobacco;Tabac;Tabak;;;;;;;;;;;
tobacco_RGO_SIZE;Tobacco plantation size;Taille de la plantation de tabac;Tabakplantage-Größe;;;;;;;;;;;
tea;Tea;Thé;Tee;;;;;;;;;;;
tea_RGO_SIZE;Tea plantation size;Taille de la plantation de thé;Teeplantage-Größe;;;;;;;;;;;
coffee;Coffee;Café;Kaffee;;;;;;;;;;;
coffee_RGO_SIZE;Coffee plantation size;Taille de la plantation de café;Kaffeeplantage-Größe;;;;;;;;;;;
opium;Opium;Opium;Opium;;;;;;;;;;;
opium_RGO_SIZE;Opium plantation size;Taille de la plantation d'opium;Opiumplantage-Größe;;;;;;;;;;;
automobiles;Automobiles;Automobiles;Automobile;;;;;;;;;;;
telephones;Telephones;Téléphones;Telefone;;;;;;;;;;;
wine;Wine;Vin;Wein;;;;;;;;;;;
liquor;Liquor;Alcool;Schnaps;;;;;;;;;;;
regular_clothes;Regular Clothes;Vêtements classiques;Kleidung;;;;;;;;;;;
luxury_clothes;Luxury Clothes;Vêtements de luxe;Luxuskleidung;;;;;;;;;;;
furniture;Furniture;Meubles;Möbel;;;;;;;;;;;
luxury_furniture;Luxury Furniture;Meubles de luxe;Luxusmöbel;;;;;;;;;;;
radio;Radio;Radio;Radio;;;;;;;;;;;
financial_services;Financial Services;;;;;;;;;;;;;
electric_power;Electric Power;;;;;;;;;;;;;
shares;Shares;;;;;;;;;;;;;
cigarettes;Cigarettes;;;;;;;;;;;;;
cigars;Cigars;;;;;;;;;;;;;
horses;Horses;;;;;;;;;;;;;
shoes;Shoes;;;;;;;;;;;;;
boots;Boots;;;;;;;;;;;;;
sugar;Sugar;;;;;;;;;;;;;
pharmaceuticals;Pharmaceuticals;;;;;;;;;;;;;
spices;Spices;;;;;;;;;;;;;
spices_RGO_SIZE;Spice Farm Size;;;;;;;;;;;;;
print;Print;;;;;;;;;;;;;
#governments.txt;;;;;;;;;;;;;;
proletarian_dictatorship;Proletarian Dictatorship;Dictature prolétaire;Proletarische Diktatur;;;;;;;;;;;
proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;;;;;;;;;;
presidential_dictatorship;Presidential Dictatorship;Dictature présidentielle;Präsidiale Diktatur;;;;;;;;;;;
presidential_dictatorship_ruler;President;Président;Präsident;;;;;;;;;;;
bourgeois_dictatorship;Bourgeois Dictatorship;Dictature bourgeoise;Bürgerliche Diktatur;;;;;;;;;;;
bourgeois_dictatorship_ruler;President;Président;Präsident;;;;;;;;;;;
fascist_dictatorship;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;;;;;;;;;;;
fascist_dictatorship_ruler;Great Leader;Great Leader;Führer;;;;;;;;;;;
feudal_monarchy;Feudal Monarchy;;;;;;;;;;;;;
feudal_monarchy_ruler;Your Majesty;;;;;;;;;;;;;
khanate;Khanate;;;;;;;;;;;;;
khanate_ruler;Great Khan;;;;;;;;;;;;;
provisional_government;Provisional Government;;;;;;;;;;;;;
provisional_government_ruler;Chairman of the Provisional Government;;;;;;;;;;;;;
colonial_company;Autonomous Dependency;;;;;;;;;;;;;
colonial_company_ruler;Governor;;;;;;;;;;;;;
absolute_monarchy;Absolute Monarchy;Monarchie absolue;Absolute Monarche;;;;;;;;;;;
absolute_monarchy_ruler;Your Majesty;Votre Majesté;König;;;;;;;;;;;
prussian_constitutionalism;Constitutional Monarchy;Monarchie constitutionelle;Preußischer Konstitutionalismus;;;;;;;;;;;
prussian_constitutionalism_ruler;Chancellor;Chancellier;Kanzler;;;;;;;;;;;
hms_government;Parliamentary Monarchy;Monarchie parlementaire;Ihrer Majestät Regierung;;;;;;;;;;;
hms_government_ruler;Prime Minister;Premier Ministre;Premierminister;;;;;;;;;;;
democracy;Republic;Republique;Republik;;;;;;;;;;;
democracy_ruler;Consul;Consul;Consul;;;;;;;;;;;
theocracy;Theocracy;;;;;;;;;;;;;
theocracy_ruler;Your Holiness;;;;;;;;;;;;;
merchant_republic;Merchant Republic;;;;;;;;;;;;;
merchant_republic_ruler;Your Excellency;;;;;;;;;;;;;
#ideologies.txt;;;;;;;;;;;;;;
fascist_group;Fascist parties;Partis fascistes;faschistischen Parteien;;;;;;;;;;;
fascist;Fascist;Fasciste;Faschistisch;;;;;;;;;;;
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;
conservative_group;Conservative & Reactionary parties;Partis conservateurs et réactionnaires;konservativen & reaktionären Parteien;;;;;;;;;;;
reactionary;Reactionary;Réactionnaire;Reaktionär;;;;;;;;;;;
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;;;;;;;;;;
conservative;Conservative;Conservateur;Konservativ;;;;;;;;;;;
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;;;;;;;;;;
socialist_group;Socialist & Communist parties;Partis socialistes et communistes;sozialistischen & kommunistischen Parteien;;;;;;;;;;;
socialist;Socialist;Socialiste;Sozialistisch;;;;;;;;;;;
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;;;;;;;;;;
communist;Communist;Communiste;Kommunistisch;;;;;;;;;;;
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;
liberal_group;Liberal & Anarcho-Liberal parties;Partis libéraux et libéraux-anarchistes;liberalen & anarcho-liberalen Parteien;;;;;;;;;;;
liberal;Liberal;Libéral;Liberal;;;;;;;;;;;
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;;;;;;;;;;
anarcho_liberal;Anarcho Liberal;Libéral anarchiste;Anarcho-Liberal;;;;;;;;;;;
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;;;;;;;;;;
social_liberal;Social Liberal;;;;;;;;;;;;;
social_liberal_uh;The 'New Liberals', as they are sometimes called, are a new breed of liberals who are in favor of both political as well as social reform.;;;;;;;;;;;;;
minor_group;Minor parties;;;;;;;;;;;;;
separatist;Separatist;;;;;;;;;;;;;
separatist_uh;Separatists have abandoned all attempts at national improvement. They only want independence, and will vote against all reforms.;;;;;;;;;;;;;
subordinate;Subordinate;;;;;;;;;;;;;
subordinate_uh;These are slaves who are compliant and willing to work with the system. They are unlikely to rebel, but contribute nothing to the country's political system.;;;;;;;;;;;;;
insubordinate;Insubordinate;;;;;;;;;;;;;
insubordinate_uh;These are slaves who are rebellious and unwilling to obey their owners, but even so contribute nothing to the country's political system.;;;;;;;;;;;;;
#issues.txt;;;;;;;;;;;;;;
party_issues;Party Issues;Problèmes de parti;Parteiangelegenheiten;;;;;;;;;;;
trade_policy;Trade Policy;Politique commerciale;Handelspolitik;;;;;;;;;;;
protectionism;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_l;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_desc;Trade between nations is restricted.;Le commerce entre les États est limité.;Der Handel zwischen Staaten ist eingeschränkt.;;;;;;;;;;;
free_trade;Free Trade;Libre échange;Handelsfreiheit;;;;;;;;;;;
free_trade_l;Free Trade;Libre échange;Freihandel;;;;;;;;;;;
free_trade_desc;Traders are able to act and transact without interference from the government.;Les marchands peuvent commercer sans interférence du gouvernement.;Händler können ihre Geschäfte ohne Einmischung der Regierung betreiben.;;;;;;;;;;;
economic_policy;Economic Policy;Politique économique;Wirtschaftspolitik;;;;;;;;;;;
laissez_faire;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_l;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_desc;Industry is free from government interference;Le gouvernement n'interfère pas dans l'industrie;Die Regierung mischt sich nicht in die Industrie ein.;;;;;;;;;;;
interventionism;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_l;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_desc;In general this is a free market economy but the government reserves the right to intervene when the national interest requires it.;En général, il s'agit d'une économie de libre échange, mais le gouvernement se réserve le droit d'intervenir lorsque l'intérêt national l'exige.;Im Allgemeinen ist dies eine Freihandelswirtschaft, aber die Regierung behält sich das Eingriffsrecht zum Wohle der Nation vor.;;;;;;;;;;;
state_capitalism;State Capitalism;Capitalisme d'État;Staatskapitalismus;;;;;;;;;;;
state_capitalism_l;State Capitalism;Capitalisme d'État;Staatskapitalismus;;;;;;;;;;;
state_capitalism_desc;The State controls the commanding heights of the economy but limited free enterprise is allowed.;L'État contrôle les sphères dirigeantes de l'économie, mais une certaine libre entreprise est autorisée.;Der Staat steuert die Wirtschaft, freie Marktwirtschaft wird aber mit Einschränkungen gestattet.;;;;;;;;;;;
planned_economy;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;
planned_economy_l;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;
planned_economy_desc;The government makes all decisions on the production and consumption of goods and services.;Le gouvernement prend toutes les décisions sur la production et la consommation des biens et des services.;Die Regierung trifft sämtliche Entscheidungen hinsichtlich der Produktion und des Verbrauchs von Gütern und Dienstleistungen.;;;;;;;;;;;
agrarianism;Agrarianism;;;;;;;;;;;;;
agrarianism_l;Agrarianism;;;;;;;;;;;;;
agrarianism_desc;A social philosophy which believes rural life is superior to urban life. Factories and industrialization of all kinds are to be discouraged.;;;;;;;;;;;;;
religious_policy;Religious Policy;Politique religieuse;Religionspolitik;;;;;;;;;;;
pro_atheism;Atheism;Athéisme;Atheismus;;;;;;;;;;;
pro_atheism_l;Atheism;Athéisme;Atheismus;;;;;;;;;;;
pro_atheism_desc;Total separation between church and state, religion is purely a private matter.;Séparation totale entre l'Église et l'État , la religion est une affaire purement privée.;Totale Trennung zwischen Kirche und Staat - die Religion ist eine strikt private Angelegenheit.;;;;;;;;;;;
secularized;Secularized;Sécularisation;Säkularisation;;;;;;;;;;;
secularized_l;Secularized;Sécularisation;Säkularisation;;;;;;;;;;;
secularized_desc;Religion is not explicitly part of state policy, but the state tips it hat to traditional religious values.;La religion ne fait pas explicitement partie de la politique de l'État, mais celui-ci respecte les valeurs religieuses traditionnelles.;Die Religion ist zwar nicht direkt Teil der Staatspolitik, doch der Staat erkennt die traditionellen religiösen Werte an.;;;;;;;;;;;
pluralism;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_l;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_desc;The state religion is actively promoted but other religions are tolerated.;La religion d'État est activement promue, mais d'autres religions sont tolérées.;Die Staatsreligion wird aktiv gefördert, aber andere Religionen werden auch toleriert.;;;;;;;;;;;
moralism;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_l;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_desc;Church and state are a single body, and religious minorities face discrimiation.;L'Église et l'État forment une même entité et les minorités religieuses sont discriminées.;Kirche und Staat sind eine unzertrennbare Einheit und religiöse Minderheiten werden diskriminiert.;;;;;;;;;;;
citizenship_policy;Citizenship Policy;Politique de citoyenneté;Bürgerrechtspolitik;;;;;;;;;;;
residency;Residency;Résidence officielle;Residenz;;;;;;;;;;;
residency_l;Residency;Résidence officielle;Residenz;;;;;;;;;;;
residency_desc;Only people of your nation's primary culture are allowed the vote.;Seule la population de la culture principale de votre nation est autorisée à voter.;Nur Angehörige der Primärkultur unserer Nation dürfen wählen.;;;;;;;;;;;
limited_citizenship;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;
limited_citizenship_l;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;
limited_citizenship_desc;Only people of your nation's primary and accepted cultures are allowed the vote.;Seule la population de la culture principale et de la culture acceptée de votre nation est autorisée à voter.;Nur Angehörige der Primärkultur und der akzeptierten Kulturen unserer Nation dürfen wählen.;;;;;;;;;;;
full_citizenship;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;
full_citizenship_l;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;
full_citizenship_desc;Every vote is equal.;Chaque vote est équivalent.;Jede Stimme ist gleich.;;;;;;;;;;;
war_policy;War Policy;Politique de guerre;Kriegspolitik;;;;;;;;;;;
jingoism;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_l;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_desc;The military is the centrepiece of the state and military spending is prioritised.;L'armée est la pièce maîtresse de l'État et les dépenses militaires sont privilégiées.;Das Militär ist das Kernstück des Staats und der Wehretat hat oberste Priorität.;;;;;;;;;;;
pro_military;Pro Military;Pro-militaire;Pro Militär;;;;;;;;;;;
pro_military_l;Pro Military;Pro-militaire;Pro Militär;;;;;;;;;;;
pro_military_desc;The government is a strong supporter of the armed services.;Le gouvernement soutient les forces armées.;Die Regierung ist ein starker Unterstützer der Streitkräfte.;;;;;;;;;;;
anti_military;Anti Military;Anti-militaire;Anti-Militär;;;;;;;;;;;
anti_military_l;Anti Military;Anti-militaire;Anti-Militär;;;;;;;;;;;
anti_military_desc;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.;Les forces armées grèvent les finances de l'État et le gouvernement estime que cet argent serait mieux utilisé ailleurs.;Die Streitkräfte belasten den Staatshaushalt und die Regierung ist der Ansicht, dass sie das Geld woanders besser einsetzen könnte.;;;;;;;;;;;
pacifism;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_l;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_desc;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.;Le gouvernement est activement hostile aux intérêts de l'armée qu'il juge contraires à ses politiques.;Die Regierung ist den Interessen des Militärs gegenüber feindlich eingestellt und sieht sie als gegen die Regierungspolitik gerichtet an.;;;;;;;;;;;
political_reforms;Political Reforms;Réformes politiques;Politische Reformen;;;;;;;;;;;
slavery;Slavery;Esclavage;Sklaverei;;;;;;;;;;;
yes_slavery;Allowed;Autorisé;Gestattet;;;;;;;;;;;
yes_slavery_l;Slavery Allowed;Esclavage autorisé;Sklaverei gestattet;;;;;;;;;;;
yes_slavery_desc;Slavery is allowed;L'esclavage est autorisé;Sklaverei ist gestattet;;;;;;;;;;;
no_slavery;Outlawed;Illégal;Geächtet;;;;;;;;;;;
no_slavery_l;Outlaw Slavery;Esclavage interdit;Sklaverei ächten;;;;;;;;;;;
no_slavery_desc;Slavery is forbidden;L'esclavage est interdit;Sklaverei ist geächtet;;;;;;;;;;;
movement_no_slavery;Abolitionist Movement;Mouvement abolitionniste;Anti-Sklaverei-Bewegung;;;;;;;;;;;
vote_franschise;Vote Franchise;Droit de vote;Wahlrecht;;;;;;;;;;;
none_voting;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_l;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_desc;No one is allowed to vote.;Personne ne peut voter.;Niemand darf wählen.;;;;;;;;;;;
landed_voting;Only Landed;Système électoral censitaire;Nur Landbesitzer;;;;;;;;;;;
landed_voting_l;Landed Voting;Système électoral censitaire;Grundbesitzerwahl;;;;;;;;;;;
landed_voting_desc;Only aristocrats and Capitalists may vote.;Seuls les aristocrates et les capitalistes peuvent voter.;Nur Aristokraten und Kapitalisten haben Wahlrecht.;;;;;;;;;;;
wealth_weighted_voting;Weighted Wealth;Richesse pondérée;Vermögensgewichtung;;;;;;;;;;;
wealth_weighted_voting_l;Wealth Weighted Voting;Droit de vote pondéré basé sur la fortune;Wahlen mit Vermögensgewichtung;;;;;;;;;;;
wealth_weighted_voting_desc;Only the wealthy (clerks and above) may vote, but the rich men's votes are worth twice as much as middle-class votes.;Seuls les plus aisés (employés ou supérieurs) peuvent voter, mais les votes des riches compte deux fois plus que ceux des classes moyennes.;Nur wohlhabende Menschen (Angestellte und höher) dürfen wählen, aber die Stimmen reicher Männer zählen doppelt so viel wie die von Angehörigen der Mittelklasse.;;;;;;;;;;;
wealth_voting;Wealth;Richesse;Vermögen;;;;;;;;;;;
wealth_voting_l;Wealth Voting;Droit de vote basé sur la fortune;Vermögenswahl;;;;;;;;;;;
wealth_voting_desc;Only the middle and upper clasees may vote.;Seules les classes moyennes et supérieures peuvent voter.;Nur Angehörige der Mittel- und Oberklasse dürfen wählen.;;;;;;;;;;;
universal_weighted_voting;Weighted Universal;Scrutin universel pondéré;Universalgewichtung;;;;;;;;;;;
universal_weighted_voting_l;Universal Weighted Voting;Droit de vote universel pondéré;Universal gewichtete Wahl;;;;;;;;;;;
