EVT152009874OPTA;A dark day for $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME152009875;The Fall of the Palace of Westminster;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC152009875;"Scattered gunfire can be heard echoing through the empty streets of London as the last pockets of resistance to the $FROMCOUNTRY_ADJ$ occupation are quelled. The parliament houses in the Palace of Westminster lay empty while $FROMCOUNTRY_ADJ$ soldiers run up and down placing explosives in the silent corridors. A $FROMCOUNTRY_ADJ$ general silently read the orders that came from the $FROMCOUNTRY_ADJ$ capital with instructions to destroy the Palace in an attempt to crush the $COUNTRY_ADJ$ spirit. The explosives are detonated at the same time as the Clock Tower bell strike its precise hourly strike. The tower is engulfed by flames as parts of the western palace collapse, with pieces of the Big Ben landing on the Thames along with other debris while nearby buildings are hit by flaming debris and catch fire. $FROMCOUNTRY_ADJ$ soldiers watch and cherish from a safe distance as the glass that once contained the phrase 'DOMINE SALVAM FAC REGINAM NOSTRAM VICTORIAM PRIMAM' rains on the ground. Nearby, $FROMCOUNTRY_ADJ$ soldiers storm the Buckingham Palace just to find out that the $MONARCHTITLE$ has already fled the country. They hoist the $FROMCOUNTRY_ADJ$ flag and turn to see the smoke rising in the horizon. London is lost.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT36967OPTB;Declare war now!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME1000;Socialists;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1000;Karl Marx has published The Communist Manifesto, which has led to workers in $COUNTRY$ to found a party dedicated to advancing the agenda laid out therein. They call themselves socialists and believe in a land ruled by the workers, where the workers control the means of production. Equality, justice, solidarity and democracy are other vital points in the socialists ideology.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTOPTA1000;Workers of the world, Unite!;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME1001;The First International;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1001;'Comrades, it is a great fact that the misery of the working masses has not diminished from 1836 to $YEAR$ in $COUNTRY$, and yet this period is unrivaled in the development of its industry and the growth of its commerce. Capital is dead labor, that, vampire-like, only lives by sucking living labor, and lives the more, the more labor it sucks. The time during which the laborer works, is the time during which the capitalist consumes the labor-power he has purchased of him. As time passes, all social rules and all relations between individuals are eroded by a cash economy, avarice drags Pluto himself out of the bowels of the earth. In light of this, we want, no, we NEED a free society, where no one is considered to be superior, no one is left behind and where mankind is free from oppression and scarcity. We need a society without a government, without class divisions and where the workers control the means of production. \n The proletarians have nothing to lose but their chains.';;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA1001;Let the ruling classes tremble at the Communist revolution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
EVTNAME1002;Anarcho-Liberals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
EVTDESC1002;'Instead of the state controlling the law enforcement, the courts and the national defense, the different law systems should be provided by voluntarily-founded private competitors. Money should be privately and competitively provided in an open market and personal and economic activities should be regulated by the natural laws of the market and through private law rather than through politics.'\n\n A group of liberals disgruntled with their lack of economic freedom, and the pace of parliamentary reform, have formed a new faction in $COUNTRY_ADJ$ politics. The Anarcho-Liberals are the revolutionary avantgarde of the liberal ideology, and they will not hesitate to use whatever means necessary to see their ideas of freedom and free trade instituted both in $COUNTRY$ and abroad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1002;Okay.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTNAME32537;The Rise of Mysticism;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32537;"Imperial Russia is confronted with a religious renaissance, a widespread interest in spiritual-ethical literature and non-conformist moral-spiritual movements, an upsurge in pilgrimage and other devotions to sacred spaces and objects. The 'God-Seeking' are shaping their own ritual and spiritual lives, sometimes in the absence of clergy. The upper class of $CAPITAL$ had=s been widely influenced by this wave of mysticism. Individual aristocrats are reportedly obsessed with anything occult and this new fever for anything mystic has been spreading to the middle class and the peasants.";;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32537OPTA;Imaginary things can't hurt the nation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32537OPTB;Mysticism? In *my* Imperial Russia?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32538;The Tzar's Son Falls Ill;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32538;"In $YEAR$, Tsesarevich Alexei, the Tzar's son, received an injury which caused him painful bleeding. When the doctors could not supply a cure, the desperate Tzarina looked for other help. Grigori Rasputin, a peasant who identified as a strannik, a religious wanderer, had already treated other nobles families and came for the desperate Tzarina. Rasputin was said to possess the ability to heal through prayer and was able to calm the parents and to give the boy some relief, in spite of the doctors' prediction that he would die. On the following day the boy showed significant signs of recovery. The careless Alexei received the last sacrament during another particularly grave crisis, and the desperate Tzarina turned to her lady-in-waiting, to secure the help of the peasant healer. The next day, Rasputin responded and sent a short telegram, including the prophecy: 'The little one will not die. Do not allow the doctors to bother him too much.' The boy's temperature dropped and the hematoma disappeared.";;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32538OPTA;Well, I will be damned.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32539;Intrigue in the Russian Court;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32539;"While fascinated by Rasputin in the beginning, the ruling class of $CAPITAL$ became envious and turned against him: he had privileges no one else had. In $YEAR$, within four months, Rasputin had visited the Romanovs six times. The press started a campaign against Rasputin, claiming he paid too much attention to women. Hermogen, who told Rasputin to stay away from the palace, repeated the rumors that Rasputin had joined the Khlysty, a sect. Iliodor, hinting that Rasputin was Alexandra's paramour, showed Makarov a satchel of letters. The letters were handed to the Tzar and Rodzianko requested Rasputin to leave the capital. When Kokovtsov became prime minister he asked the Tzar permission to authorize Rasputin's exile to Tobolsk, but Nicholas refused: 'I know Rasputin too well to believe all the tittle-tattle about him.' Kokovtsov offered Rasputin 200,000 rubles for him to leave the capital, but he refused. Rasputin had become one of the most hated persons in Russia.";;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32539OPTA;What nonsense is this? Rasputin proved to be a good man time and again.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32539OPTB;Something must be done about him.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32540;Rasputin's Exile;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32540;"After much time spent debating it, the Tzar was finally convinced to exile Rasputin. Tzarina Alexandra is inconsolable, blaming the Tzar if anything happens to their son. The Russian nobility and clergy rejoices, arguing that the Tzar made the right choice. Rasputin only looked the Tzar in the eyes, and said 'Before we repent, we have to sin.'";;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32540OPTA;No one will miss him.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32541;Russia Goes to War;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32541;"Despite attempts to convince the Tzar, Rasputin stayed in court. Iliodor, one of the main orthodox priests, had Khionia Guseva attack Rasputin. She stabbed Rasputin in the stomach, just above the navel. Covered with blood, Rasputin was brought into his house. The Tzar sent his own physician and after a laparotomy and more than six weeks in the hospital, Rasputin recovered. From the hospital Rasputin sent quite a few telegrams to the court, expressing his fears for the future of the country: 'If Russia goes to war, it will be the end of the monarchy, of the Romanovs and of Russian institutions.' In $YEAR$, Tzar Nicholas took supreme command of the Russian armies, leaving his wife in charge of ruling the country. Alexandra loathed the Duma because of its discussion of Rasputin. While seldom meeting with Alexandra personally, Rasputin had become her personal adviser through daily telephone calls or weekly meetings with Vyrubova. Rumors began on how the one really governing was Rasputin.";;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32541OPTA;The Tzar will lead Russia to glory in the battlefield.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32542;Rasputin's Telegram;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32542;When the bell tolls three times, it will announce that I have been killed. If I am killed by common men, you and your children will rule Russia for centuries to come. If I am killed by one of your stock, you and your family will be killed by the Russian people. \nPray Tzar of Russia.\nPray.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32542OPTA;...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32542OPTB;Quick, send orders to protect Rasputin!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32543;Rasputin's Assassination;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32543;Two city policemen on duty near the Yusupov palace heard shots and screams. They discussed the issue on the Pochtamtsky Bridge. One of them rang at the door and questioned Yusupov's butler, but was sent away. Twenty minutes later he was re-invited to the palace. Purishkevich boasted he had shot Rasputin, and asked the policeman, aware of his mistake, to keep it quiet for the sake of the Tzar. Rasputin's beaver-fur coat and the body were discovered in a frozen river, 140 meters away from the Bolshoy Petrovsky bridge, with a shot in his frontal lobe. The two nobles who killed Rasputin were exiled by the Tzar, who came back from the front. Progressively, more and more people came to the conclusion that the problem was not Rasputin but the weak-willed Emperor, who had secluded himself in Tsarskoye Selo, unable to react on what happened. The struggle between the Tzar and the Duma became more bitter than ever, and the Tzar, more secluded in his palace.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32543OPTA;A gruesome end.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32544;The Communist Plot;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32544;"Everyone who met Rasputin remarked on his eyes and how hypnotic they were. His 'shining steel-like' or 'bright and brilliant' and 'intelligent' eyes became legendary. According to Theofan, Paul Kurlov and Count Kokotsov he had 'piercing' eyes. To Tamara Karsavina he had the eyes of a maniac. But his hypnotic eyes couldn't do anything against the bullet of one of the members of the Communist Party who believed he could destabilize the government by killing a close friend of the Tzar's family and the Tzarina most trusted advisor. The Russian nobility rejoiced at the death of Rasputin, assassinated as he left his home, but the death had the inverse effect that his assassin expected: the Russian Tzar left his isolation and ordered a hunt. The police organized a crackdown in every syndicate or communist party/organization, severely crippling communist support and organization, and rounding up a few suspects including a prominent figure in the communist circles, Vladimir Ilyich Ulyanov.";;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME32545;Attempt on Rapustin's Life;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC32545;During a visit to his home village, while exiting a church, Rasputin was attacked by a man. The man stabbed him in the belly three times before Rasputin managed to escape, running down the street with his hands on his belly. The man chased him, but Rasputin grabbed a stick from the ground and hit him on the head. Covered with blood, Rasputin was brought into the church. After ten hours a doctor arrived from the neighboring village and operated on him in the middle of the night. Rasputin stayed days under heavy guard and the man who attacked him was never found, but he recovered. He started drinking, his paranoia increased and eventually he asked to leave the service of the Tzar, which he did despite the Royal family protesting, and lived the rest of his life as an hermit. Nobles still went looking for him, asking for advice, and after he left his public image was somewhat redeemed.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT32545OPTA;At least he will live the rest of his life in peace.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME1003;The Third Way;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1003;'Black shirts of the revolution, men and women of all $COUNTRY$, men and women all over the world, listen: The government has grown weak! We need a party who can unite us, who can give us a strong national identity and who will not be fooled by capitalism's or communism's sweet but poisonous voice. $COUNTRY$! $COUNTRY$! Entirely and universally Fascist! $COUNTRY$ of the black shirts, rise to your feet, let the cry of your determination rise to the skies and reach all the world: Everything in the State, nothing outside the State, nothing against the State. Today, together in $COUNTRY$ we have lit a flame that the ages shall not extinguish. Guard that sacred flame, my fascist brothers, until it illuminates $COUNTRY$ and lights again the paths of mankind.' \n \n The Third Way, or fascists as they might be called, are looking to get a seat in the Upper House.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTOPTA1003;Strength through Unity!;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900000;The Libyan Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900000;With the Turkish Empire currently in its weakest state in history, the time for laying claim to the lands of Libya is perfect. We can send an ultimatum to the Turks demanding that they surrender the Libyan territories, threatening war if they refuse. The other Great Powers are quickly laying claim to the rest of Africa, so it is imperative that we seize this opportunity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900000OPTA;We will send an ultimatum to the Turks.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900000OPTB;We have no interest in colonial affairs at this time.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900001;Italians Demand Libya!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900001;"Apparently looking to join the other powers of Europe in the 'Scramble for Africa,' the arrogant fools ruling Italy have sent us an ultimatum demanding that we fully surrender our protectorates in Libya. As Libya is currently the least of our worries, it may be best to persuade Italy into accepting a compromise.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900001OPTA;We will permit Italian influence in Libya while keeping it as a protectorate.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900001OPTB;This is nonsense. We will not let these fools bully us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900002;Turks Suggest a Compromise;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900002;The Turks have said that they would be willing to grant independence to their Libyan territories while allowing us unlimited trading rights within said territories.  While this would prevent a possibly long and bloody conflict, it would also stall our goals towards further colonization in Africa.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900002OPTA;Fine. We agree.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900002OPTB;Is this some kind of joke? We demand full control over Libya!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900005;The Italians Agree to Our Compromise;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900005;Italy has agreed to allow us to maintain nominal suzerainty over Libya while granting them full trade access within the territories. This is in our best interests for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900005OPTA;Very well.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900006;The Italians have refused our suggested compromise and continue to demand full control over Libya. Shall we back down and concede or prove our worth in battle?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900006;Italians Refuse Deal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900006OPTA;Allah will grant us victory. To battle!.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900006OPTB;We concede.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900007;Turks Refuse!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900007;Turkey has refused our demands once again and threatens to respond militarily if we pursue our interests in Libya.  Will we go to war, or will we back down?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900007OPTA;To arms!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900007OPTB;Bide our time.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900008;The Turkish Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900008;The Turks have backed down and agreed to grant us full control over Libya. Surely our might is great.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900008OPTA;Great!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900008OPTB;Let's take Rhodes too.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900009;Italy Conquers Libya;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900009;Our brave soldiers truly fought with the Lord on their side as the Turks fell to the ground in wave after wave. Libya is now ours. This is truly a glorious day for our nation! \n \n Even more fortunate, the Dodecanese Islands rebelled from the their Turkish masters and proclaimed themselves the Federation of the Dodecanese Islands. If we don't intervene, they will surely be suppressed.  By intervening, we can take the islands in the name of peace and stability.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900009OPTA;Let the Turks deal with them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900009OPTB;Onwards to Rhodes!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME900010;The Ottoman Empire Prevails;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC900010;Our glorious armies have defeated the Italians. Truly Allah is on our side.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT900010OPTA;Allahu Akbar!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC441290;With the purchase of Alaska from the Russians many in the US are calling for the immediate annexation of all territory south of the Yukon River. Those in favor of the idea claim that it is our destiny to establish a contiguous federation from Juneau to Tampa. If we follow through with this demand we can rest assured that the British will not be happy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC441295;The Americans have issued us an ultimatum. They are demanding we renounce and secede all our possessions along the Yukon River and down the continental divide to the American's newly purchased Alaskan colony. Refusing would most definitely mean a costly war in North America over more sparsely populated territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA1.T;La Rive Gauche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA1.D;The Para region which controls the west bank of the Amazon river has been under Spanish domination for decades. However it is a backward place where nobody lives except the local tribes and some Guianan outposts. Settlers from the Equinoxian Republic have begun inhabiting the region and are advancing more every day. We could take advantage of the current war to seize Para and annex it to Equinoxia. However we should be aware that when the war ends, the victor could come back reclaiming these lands...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98401.A;Take the opportunity while no one is watching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98401.B;It is not our territory, call them back!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA2.T;Message from Para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA2.D;The Amazonian settlers have seized the entirety of the Para area!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98402.A;The bastards!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA3.T;Para?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA3.D;My king, one matter has come to the attention of our councillors. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98403.A;We will settle the matter if they pay us;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98403.B;Send this message: 'Para or War' ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98403.C;Why bother about some inhospitable jungle?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA4.T;Spanish envoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA4.D;"The Spanish delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them 'reparations' on a 12year basis. What do we do?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98404.A;Just some money? Take the chance while they are asking!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98404.B;And what will they do if we don't?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA5.T;Amazonian Response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA5.D;The Amazonian have accepted. The first payment is fulfilled.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98405.A;I think we have made a great deal gentlemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA6.T;Amazonian Response ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA6.D;The Amazonian have refused to pay reparations. There is only one solution: war.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98406.A;They want war? They'll get war!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA7.T;Second payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA7.D;"It is the time to pay our 'reparations' to Spain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98407.A;Send the money;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA8.T;Reparations for Para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA8.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98408.A;Always a pleasure...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA9.T;Third payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA9.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98409.A;Send the money;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA10.T;Last payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA10.D;Finally we must complete the reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98410.A;At last;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA11.T;Last payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA11.D;Amazonie has paid all the reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
