greek_epirus_desc;Greeks have inhabited Epirus since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_epirus_title;Restore Epirus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_epirus_desc;With the Greek invaders driven out of Epirus, proper Albanian names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_thrace_title;Greek Thrace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_thrace_desc;Greeks have inhabited Thrace since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_thrace_title;Restore Thrace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_thrace_desc;With the Greek invaders driven out of Thrace, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_constantinople_title;Greek Constantinople;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_constantinople_desc;Greeks have inhabited Byzantium since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_istanbul_title;Restore Istanbul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_istanbul_desc;With the Greek invaders driven out of Istanbul, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_ionia_title;Greek Ionia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_ionia_desc;Greeks have inhabited Ionia since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_aydin_title;Restore Aydin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_aydin_desc;With the Greek invaders driven out of Aydin, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_nicaea_title;Greek Nicaea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_nicaea_desc;Greeks have inhabited Nicaea since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_hudavendigar_title;Restore Hudavendigar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_hudavendigar_desc;With the Greek invaders driven out of Hudavendigar, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_pontus_title;Greek Pontus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greek_pontus_desc;Greeks have inhabited Pontus since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_pontus_title;Restore Pontus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_pontus_desc;With the Greek invaders driven out of Pontus, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_euskadia_title;Greater Euskadia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_euskadia_desc;To preserve our position in the Bay of Biscay we need to extend our territories to the north.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malacca_treaty_SCA_title;Treaty with Scandinavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malacca_treaty_SCA_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on thst territory?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malacca_treaty_BRG_title;Treaty with Burgundy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malacca_treaty_BRG_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on thst territory?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_grossdeutschland_title;Let the German Eagle rise!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_grossdeutschland_desc;Our domination of the German areas is now beyond contest - for the first time in a millennia, the German people are united under a flag, ours! Let us proclaim the Greater German state, and take our rightful place as leaders of Europe!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
centralize_hre_title;The Thousand Years' Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
centralize_hre_desc;The Holy Roman Empire could have been the greatest power of the continent if it had been united. The previous emperor tried to centralize the various principalities during the Revolution but the Great German War forced him to withdraw its claims. But now we are strong enough to try the adventure once more and this time, maybe establish a Reich that will last a Thousand Years!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_to_frankfurt_title;Move the capital to Frankfurt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_to_frankfurt_desc;Despite our efforts, the princes of the Empire did not accept our claim. We defeated them and we can rightfully be recognized Kaiser by the Germans! Ein Reich, Ein Deustchland!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_elbian_confederation_title;Form the Confederation at the Elbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_elbian_confederation_desc;The dream of reunifying the German lands under our dominion is now forfeit. The revolutions and the rise of German nationalism have provoked an immense opposition to the unified Reich. However we hold special ties with the Elbian people and if we could bring the North German lands under our protection we could annex the princes of the north and govern the Elbians as equals to the Bohemians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_prussia_title; Integration of Prussia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_prussia_desc;Although Prussia was never part of our sphere of influence, the lands we ahve conquereds are still predominently inhabited by Germans. We can thus add them to our Realm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_elsass_title;Integration of Elsass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_elsass_desc;The Elsass lands have been out of the HRE since the first Burgundian wars. Predominantly inhabited by Rhenish people, we can add this area to the glorious Reich!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_rhineland_title;Integration of the Rhine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_rhineland_desc;With our state controlling most of the Rhine region we have gained the support of the locals! Fur die Vaterland!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_elbe_title;Integration of the North;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_elbe_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in North Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_south_title;Integration of the South;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_south_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in South Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_griqualand_title;Establish Greater Griqualand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_griqualand_desc;With our extensive rule over the South African territories you can claim the title of Lord Protector of Greater Griqualand.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
griqualand_coast_title;Take Control of the Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
griqualand_coast_desc;While we have always claimed the western coast of Griqualand, we had no actual control over this territory. With our power solidified we could now integrate these lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_on_title;Show 'Release Vassal' Decisions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_on_desc;The Release Vassal decisions allow releasing vassals, and are normally hidden to keep the decision list short and clear.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_off_title;Hide 'Release Vassal' Decisions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_off_desc;The decisions to release vassals will be hidden again.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BSH_title;Grant Lesotho Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BSH_desc;We've had a good run, but it's time to end our rulership of Lesotho.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LOA_title;Grant Loango Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LOA_desc;We've had a good run, but it's time to end our rulership of Loango.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LUN_desc;We've had a good run, but it's time to end our rulership of Lunda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MAT_title;Grant Matabele Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MAT_desc;We've had a good run, but it's time to end our rulership of Matabele.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MNG_title;Grant Mongo Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MNG_desc;We've had a good run, but it's time to end our rulership of Mongo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SFJ_title;Grant Sudurhafeyjar Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SFJ_desc;We've had a good run, but it's time to end our rulership of Sudurhafeyjar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SHO_title;Grant Shona Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SHO_desc;We've had a good run, but it's time to end our rulership of Shona.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SUA_title;Grant Suazi Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SUA_desc;We've had a good run, but it's time to end our rulership of Suazi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_XHO_title;Grant Xhosa Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_XHO_desc;We've had a good run, but it's time to end our rulership of Xhosa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HLR_title;Grant the Holy Roman Empire Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HLR_desc;We've had a good run, but it's time to end our rulership of the Holy Roman Empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AZL_title;Grant the Amerigan Federation Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AZL_desc;We've had a good run, but it's time to end our rulership of the Amerigan Federation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TAR_title;Grant Tatarstan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TAR_desc;We've had a good run, but it's time to end our rulership of Tatarstan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASM_title;Grant Assam Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Assam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARC_title;Grant Arcadia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARC_desc;We've had a good run, but it's time to end our rulership of Arcadia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TRO_title;Grant Terra d'Oro Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TRO_desc;We've had a good run, but it's time to end our rulership of Terra d'Oro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ENG_title;Grant the British Commonwealth Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of the British Commonwealth.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RUS_title;Grant Russia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_DUA_title;Grant the Dual Monarchy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_DUA_desc;We've had a good run, but it's time to end our rulership of the Dual Monarchy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PRU_title;Grant Prussia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PRU_desc;We've had a good run, but it's time to end our rulership of Prussia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GER_title;Grant Germany Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AUS_title;Grant Austria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TUR_title;Grant Turkey Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TUR_desc;We've had a good run, but it's time to end our rulership of Turkey.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CHI_title;Grant China Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CHI_desc;We've had a good run, but it's time to end our rulership of China.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARA_title;Grant Aragon Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARA_desc;We've had a good run, but it's time to end our rulership of Aragon.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CAT_title;Grant Catalonia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CAT_desc;We've had a good run, but it's time to end our rulership of Catalonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GAL_title;Grant Galicia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GAL_desc;We've had a good run, but it's time to end our rulership of Galicia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NAV_title;Grant Navarra Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NAV_desc;We've had a good run, but it's time to end our rulership of Navarra.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POR_title;Grant Portugal Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POR_desc;We've had a good run, but it's time to end our rulership of Portugal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SPA_title;Grant Spain Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Spain.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARI_title;Grant Aragon-Italy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARI_desc;We've had a good run, but it's time to end our rulership of Aragon-Italy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRR_title;Grant Ferrara Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRR_desc;We've had a good run, but it's time to end our rulership of Ferrara.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ITA_title;Grant Italy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LOM_title;Grant Lombardia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Lombardia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LUC_title;Grant Lucca Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LUC_desc;We've had a good run, but it's time to end our rulership of Lucca.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MLT_title;Grant Malta Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MLT_desc;We've had a good run, but it's time to end our rulership of Malta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MOD_title;Grant Modena Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MOD_desc;We've had a good run, but it's time to end our rulership of Modena.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PAP_title;Grant the Papal States Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of the Papal States.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PAR_title;Grant Parma Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PAR_desc;We've had a good run, but it's time to end our rulership of Parma.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAR_title;Grant Savoy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAR_desc;We've had a good run, but it's time to end our rulership of Savoy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIC_title;Grant Two Sicilies Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIC_desc;We've had a good run, but it's time to end our rulership of Two Sicilies.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SRD_title;Grant Arborea Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Arborea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRT_title;Grant Transalpina Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRT_desc;We've had a good run, but it's time to end our rulership of Transalpina.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OCC_title;Grant Occitania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OCC_desc;We've had a good run, but it's time to end our rulership of Occitania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WLS_title;Grant Wales Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WLS_desc;We've had a good run, but it's time to end our rulership of Wales.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRG_title;Grant Burgundy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRG_desc;We've had a good run, but it's time to end our rulership of Burgundy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_IRE_title;Grant Ireland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NET_title;Grant Netherlands Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NET_desc;We've had a good run, but it's time to end our rulership of Netherlands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PRV_title;Grant Provence Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PRV_desc;We've had a good run, but it's time to end our rulership of Provence.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GNV_title;Grant Geneva Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GNV_desc;We've had a good run, but it's time to end our rulership of Geneva.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LRR_title;Grant Lorraine Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LRR_desc;We've had a good run, but it's time to end our rulership of Lorraine.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TUS_title;Grant Etruria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TUS_desc;We've had a good run, but it's time to end our rulership of Etruria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BOH_title;Grant Bohemia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BOH_desc;We've had a good run, but it's time to end our rulership of Bohemia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRI_title;Grant Crimea Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
